0.50539,0.2
0.41195,0.4
0.47993,0.6
0.48602,0.8
0.45099,1
0.52151,1.2
0.45809,1.4
0.49517,1.6
0.53502,1.8
0.61388,2
0.79489,2.2
0.81891,2.4
0.70451,2.6
0.88294,2.8
1,3
1,3.2
1,3.4
0.57535,3.6
1,3.8
1,4
0.46965,0.2
0.43992,0.4
0.48147,0.6
0.44424,0.8
0.5133,1
0.49848,1.2
0.57198,1.4
0.56253,1.6
0.61534,1.8
0.67665,2
0.71978,2.2
0.71715,2.4
0.65687,2.6
0.88258,2.8
1,3
1,3.2
1,3.4
0.94252,3.6
1,3.8
1,4
0.45615,0.2
0.43669,0.4
0.4521,0.6
0.54028,0.8
0.52918,1
0.39749,1.2
0.37453,1.4
0.47278,1.6
0.64193,1.8
0.66907,2
0.93323,2.2
0.75392,2.4
0.85382,2.6
0.80294,2.8
1,3
1,3.2
1,3.4
1,3.6
1,3.8
1,4
0.42882,0.2
0.48247,0.4
0.43868,0.6
0.51364,0.8
0.40991,1
0.43764,1.2
0.50653,1.4
0.48483,1.6
0.56815,1.8
0.72411,2
0.87226,2.2
0.6855,2.4
0.70321,2.6
0.88588,2.8
1,3
1,3.2
1,3.4
0.856,3.6
1,3.8
1,4
0.54024,0.2
0.48004,0.4
0.42955,0.6
0.4588,0.8
0.4738,1
0.48387,1.2
0.5184,1.4
0.48501,1.6
0.59143,1.8
0.58503,2
0.56578,2.2
0.7039,2.4
0.70913,2.6
0.93815,2.8
1,3
1,3.2
1,3.4
1,3.6
0.84549,3.8
1,4
0.43993,0.2
0.51351,0.4
0.49446,0.6
0.57496,0.8
0.46159,1
0.48146,1.2
0.44159,1.4
0.48618,1.6
0.64747,1.8
0.57283,2
0.74208,2.2
0.71828,2.4
0.69861,2.6
0.80684,2.8
0.83007,3
1,3.2
1,3.4
0.86864,3.6
1,3.8
1,4
0.52849,0.2
0.55891,0.4
0.54963,0.6
0.5226,0.8
0.43208,1
0.4638,1.2
0.45454,1.4
0.55592,1.6
0.70852,1.8
0.75404,2
0.88946,2.2
0.86953,2.4
0.5864,2.6
1,2.8
0.95748,3
1,3.2
1,3.4
1,3.6
1,3.8
1,4
0.481,0.2
0.46875,0.4
0.48937,0.6
0.45376,0.8
0.47453,1
0.56275,1.2
0.49325,1.4
0.54761,1.6
0.77309,1.8
0.82435,2
0.71305,2.2
0.584,2.4
1,2.6
0.74415,2.8
1,3
0.92609,3.2
1,3.4
1,3.6
1,3.8
1,4
0.55272,0.2
0.54963,0.4
0.45912,0.6
0.56875,0.8
0.5998,1
0.45534,1.2
0.48942,1.4
0.4381,1.6
0.72057,1.8
0.61382,2
0.63145,2.2
0.84943,2.4
0.84764,2.6
0.81058,2.8
0.96968,3
1,3.2
0.85007,3.4
1,3.6
0.94312,3.8
1,4
0.471,0.2
0.47251,0.4
0.42778,0.6
0.45011,0.8
0.50727,1
0.47508,1.2
0.52163,1.4
0.51037,1.6
0.64721,1.8
0.78107,2
0.62001,2.2
0.7461,2.4
0.72058,2.6
0.82271,2.8
0.97448,3
1,3.2
1,3.4
1,3.6
0.9144,3.8
1,4
