1,0,4.6272,0.23001,0.22875,1,28
1,5e-05,3.0547,0.32538,0.14683,-0.044133,30.75
1,0.0001,3.7125,0.38697,0.3152,0.61651,14.563
1,0.00015,2.7817,0.35709,0.33629,0.26937,17.375
1,0.0002,3.6042,0.64219,0.47504,0.82257,10.688
2,0,4.6272,0.23001,0.22876,1,28
2,5e-05,3.0006,0.33282,0.13745,-0.033717,30.938
2,0.0001,2.7221,0.38362,0.26036,0.30733,21.125
2,0.00015,2.9148,0.66489,0.48495,0.45013,12.688
2,0.0002,3.3823,0.58279,0.40546,0.57248,12.438
3,0,4.6272,0.23001,0.22876,1,28
3,5e-05,3.038,0.32669,0.14449,-0.016809,30.375
3,0.0001,3.0828,0.35386,0.22419,0.37411,18.938
3,0.00015,2.8013,0.39481,0.29839,0.26342,16.625
3,0.0002,2.9761,0.73057,0.4643,0.37397,12.25
4,0,4.6272,0.23001,0.22876,1,28
4,5e-05,3.0349,0.33379,0.13624,-0.047196,30.438
4,0.0001,2.9418,0.40958,0.314,0.26258,18
4,0.00015,2.8515,0.49864,0.39085,0.39479,13.438
4,0.0002,3.5352,0.43575,0.36737,0.64119,11.313
5,0,4.6272,0.23001,0.22876,1,28
5,5e-05,3.031,0.32506,0.13724,-0.038279,30.938
5,0.0001,2.5756,0.32603,0.14632,-0.045205,30.25
5,0.00015,3.3042,0.73147,0.51283,0.79257,10.875
5,0.0002,2.9463,0.83699,0.49063,0.69701,11.563
6,0,4.6272,0.23001,0.22876,1,28
6,5e-05,2.9713,0.31967,0.14656,-0.0018766,29.875
6,0.0001,3.0615,0.44982,0.43223,0.48677,16.5
6,0.00015,3.4434,0.33885,0.22158,0.14489,20.063
6,0.0002,2.7159,0.5452,0.45033,0.56202,10.5
7,0,4.6272,0.23001,0.22876,1,28
7,5e-05,3.1135,0.32469,0.14648,-0.037099,30.563
7,0.0001,2.9024,0.42884,0.24519,0.1721,19.313
7,0.00015,2.8914,0.4692,0.38292,0.65683,13.313
7,0.0002,NaN,NaN,NaN,NaN,NaN
8,0,4.6272,0.23001,0.22876,1,28
8,5e-05,3.182,0.32243,0.13777,-0.035627,30.75
8,0.0001,3.1087,0.36828,0.29617,0.33579,18.125
8,0.00015,3.1824,0.57685,0.42052,0.66169,11.688
8,0.0002,2.7871,0.45629,0.38745,0.42134,13.813
9,0,4.6272,0.23001,0.22876,1,28
9,5e-05,3.1057,0.31786,0.1478,-0.039511,30.188
9,0.0001,2.9258,0.31143,0.21466,0.26828,21.125
9,0.00015,2.7192,0.38265,0.30754,0.3655,17.063
9,0.0002,3.5198,0.6013,0.46219,0.85556,10.563
10,0,4.6272,0.23001,0.22876,1,28
10,5e-05,3.2088,0.32164,0.14107,-0.03724,30.75
10,0.0001,2.8144,0.35346,0.19061,0.10018,22.5
10,0.00015,3.0854,0.66162,0.47354,0.7443,11.75
10,0.0002,2.533,0.49845,0.40812,0.52204,13.25
